1. The security team is concerned because the number of AWS Identity and Access Management (IAM) policies being used in the environment is increasing. The team tasked a SysOps administrator to report on the current number of IAM policies in use and the total available IAM policies. Which AWS service should the administrator use to check how current IAM policy usage compares to current service limits?	A. AWS Trusted Advisor	B. Amazon Inspector	C. AWS Config	D. AWS Organizations	A
2. A company has a stateless application that is hosted on a fleet of 10 Amazon EC2 On-Demand  Instances in an Auto Scaling group. A minimum of 6 instances are needed to meet service  requirements. Which action will maintain uptime for the application MOST cost-effectively?	A. Use a Spot Fleet with an On-Demand capacity of 6 instances. 	B. Update the Auto Scaling group with a minimum of 6 On-Demand Instances and a maximum of 10 On-Demand Instances.	C. Update the Auto Scaling group with a minimum of 1 On-Demand Instance and a maximum of 6  On-Demand Instances.	D. Use a Spot Fleet with a target capacity of 6 instances.	A
3. A SysOps administrator has launched a large general purpose Amazon EC2 instance to regularly  process large data files. The instance has an attached 1 TB General Purpose SSD (gp2) Amazon Elastic  Block Store (Amazon EBS) volume. The instance also is EBS-optimized. To save costs, the SysOps  administrator stops the instance each evening and restarts the instance each morning.  When data processing is active, Amazon CloudWatch metrics on the instance show a consistent 3.000  VolumeReadOps. The SysOps administrator must improve the I/O performance while ensuring data  integrity. Which action will meet these requirements? 	A. Change the instance type to a large, burstable, general purpose instance.	B. Change the instance type to an extra large general purpose instance.	C. Increase the EBS volume to a 2 TB General Purpose SSD (gp2) volume. 	D. Move the data that resides on the EBS volume to the instance store.	C 
4. With the threat of ransomware viruses encrypting and holding company data hostage, which action should be taken to protect an Amazon S3 bucket?	A. Deny Post. Put. and Delete on the bucket. 	B. Enable server-side encryption on the bucket. 	C. Enable Amazon S3 versioning on the bucket. 	D. Enable snapshots on the bucket. 	B 
5. A SysOps administrator is evaluating Amazon Route 53 DNS options to address concerns about high availability for an on-premises website. The website consists of two servers: a primary active server and a secondary passive server. Route 53 should route traffic to the primary server if the associated health check returns 2xx or 3xx HTTP codes. All other traffic should be directed to the secondary passive server. The failover record type, set ID. and routing policy have been set appropriately for both primary and secondary servers. Which next step should be taken to configure Route 53?	A. Create an A record for each server. Associate the records with the Route 53 HTTP health check. 	B. Create an A record for each server. Associate the records with the Route 53 TCP health check. 	C. Create an alias record for each server with evaluate target health set to yes. Associate the records  with the Route 53 HTTP health check. 	D. Create an alias record for each server with evaluate target health set to yes. Associate the records with the Route 53 TCP health check.	A 
6. A SysOps administrator noticed that a large number of Elastic IP addresses are being created on the company's AWS account, but they are not being associated with Amazon EC2 instances, and are incurring Elastic IP address charges in the monthly bill. How can the administrator identify who is creating the Elastic IP addresses?	A. Attach a cost-allocation tag to each requested Elastic IP address with the IAM user name of the developer who creates it. 	B. Query AWS CloudTrail logs by using Amazon Athena to search for Elastic IP address events. 	C. Create a CloudWatch alarm on the ElPCreated metric and send an Amazon SNS notification when the alarm triggers. 	D. Use Amazon Inspector to get a report of all Elastic IP addresses created in the last 30 days. 	B 
7. A company has an Amazon CloudFront distribution that uses an Amazon S3 bucket as its origin. During a review of the access logs, the company determines that some requests are going directly to the S3 bucket by using the website hosting endpoint. A SysOps administrator must secure the S3 bucket to allow requests only from CloudFront. What should the SysOps administrator do to meet this requirement? 	A. Create an origin access identity (OAI) in CloudFront. Associate the OAI with the distribution. Remove access to and from other principals in the S3 bucket policy. Update the S3 bucket policy to allow access only from the OAI. 	B. Create an origin access identity (OAI) in CloudFront. Associate the OAI with the distribution. Update the S3 bucket policy to allow access only from the OAI. Create a new origin, and specify the S3 bucket as the new origin.Update the distribution behavior to use the new origin. Remove the existing origin. 	C. Create an origin access identity (OAI) in CloudFront. Associate the OAI with the distribution. Update the S3 bucket policy to allow access only from the OAI. Disable website hosting. Create a new origin, and specify the S3 bucket as the new origin. Update the distribution behavior to use the new origin. Remove the existing origin. 	D. Update the S3 bucket policy to allow access only from the CloudFront distribution. Remove access to and from other principals in the S3 bucket policy. Disable website hosting. Create a new origin, and specify the S3 bucket as the new origin. Update the distribution behavior to use the new origin. Remove the existing origin.	A 
8. A SysOps administrator must create an IAM policy for a developer who needs access to specific AWS services. Based on the requirements, the SysOps administrator creates the following policy:  Which actions does this policy allow? (Select TWO.)	A. Create an AWS Storage Gateway. 	B. Create an IAM role for an AWS Lambda function. 	C. Delete an Amazon Simple Queue Service (Amazon SQS) queue. 	D. Describe AWS load balancers. 	E. Invoke an AWS Lambda function.	DE
9. A company is trying to connect two applications. One application runs in an on-premises data center that has a hostname of hostl .onprem.private. The other application runs on an Amazon EC2 instance that has a hostname of hostl.awscloud.private. An AWS Site-to-Site VPN connection is in place between the on-premises network and AWS. The application that runs in the data center tries to connect to the application that runs on the EC2 instance, but DNS resolution fails. A SysOps administrator must implement DNS resolution between on-premises and AWS resources. Which solution allows the on-premises application to resolve the EC2 instance hostname? 	A. Set up an Amazon Route 53 inbound resolver endpoint with a forwarding rule for the onprem.private hosted zone. Associate the resolver with the VPC of the EC2 instance. Configure the on-premises DNS resolver to forward onprem.private DNS queries to the inbound resolver endpoint. 	B. Set up an Amazon Route 53 inbound resolver endpoint. Associate the resolver with the VPC of the EC2 instance. Configure the on-premises DNS resolver to forward awscloud.private DNS queries to the inbound resolver endpoint. 	C. Set up an Amazon Route 53 outbound resolver endpoint with a forwarding rule for the onprem.private hosted zone. Associate the resolver with the AWS Region of the EC2 instance. Configure the on-premises DNS resolver to forward onprem.private DNS queries to the outbound resolver endpoint. 	D. Set up an Amazon Route 53 outbound resolver endpoint. Associate the resolver with the AWS Region of the EC2 instance. Configure the on-premises DNS resolver to forward awscloud.private DNS queries to the outbound resolver endpoint.	C 
10. While setting up an AWS managed VPN connection, a SysOps administrator creates a customer gateway resource in AWS. The customer gateway device resides in a data center with a NAT gateway in front of it. What address should be used to create the customer gateway resource? 	A. The private IP address of the customer gateway device 	B. The MAC address of the NAT device in front of the customer gateway device 	C. The public IP address of the customer gateway device 	D. The public IP address of the NAT device in front of the customer gateway device	D 
11. A large company is using AWS Organizations to manage its multi-account AWS environment. According to company policy, all users should have read-level access to a particular Amazon S3 bucket in a central account. The S3 bucket data should not be available outside the organization. A SysOps administrator must set up the permissions and add a bucket policy to the S3 bucket. Which parameters should be specified to accomplish this in the MOST efficient manner?	A. Specify "' as the principal and PrincipalOrgld as a condition. 	B. Specify all account numbers as the principal. 	C. Specify PrincipalOrgld as the principal. 	D. Specify the organization's management account as the principal.	A 
